[31/Oct/2018 09:19:13] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 09:19:36] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 09:20:36] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 09:21:36] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 09:22:37] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 09:23:37] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 09:24:37] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 09:25:38] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 09:26:22] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 09:26:51] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 09:27:05] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 09:28:06] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 09:29:06] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 09:30:04] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 09:31:06] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 09:31:15] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 09:31:43] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 09:31:43] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 09:32:43] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 09:33:37] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 09:34:38] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 09:35:38] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 09:36:39] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 09:37:39] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 09:38:39] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 09:39:39] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 09:40:40] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 09:41:40] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 09:42:40] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 09:43:40] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 09:44:40] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 09:45:41] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 09:45:59] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 09:47:46] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 09:48:47] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 09:49:25] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 09:50:26] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 09:51:26] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 09:52:26] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 09:53:09] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 09:53:20] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 09:53:54] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
